source,translated,context
Advanced Compliance,Cumplimiento Avanzado,
Control Activity,Actividad de Control,
Control Activities,Actividades de Control,
Risk Register Entry,Entrada de Registro de Riesgos,
Risk Register,Registro de Riesgos,
Test Execution,Ejecución de Prueba,
Deficiency,Deficiencia,
Control Evidence,Evidencia de Control,
Regulatory Update,Actualización Regulatoria,
Regulatory Feed Source,Fuente de Datos Regulatorios,
Knowledge Graph,Grafo de Conocimiento,
Control Owner,Responsable del Control,
Control Type,Tipo de Control,
Preventive,Preventivo,
Detective,Detectivo,
Corrective,Correctivo,
Frequency,Frecuencia,
Daily,Diario,
Weekly,Semanal,
Monthly,Mensual,
Quarterly,Trimestral,
Annually,Anual,
Status,Estado,
Active,Activo,
Draft,Borrador,
Deprecated,Obsoleto,
Pending,Pendiente,
In Progress,En Progreso,
Completed,Completado,
Passed,Aprobado,
Failed,Fallido,
Key Control,Control Clave,
Risk Score,Puntuación de Riesgo,
Impact,Impacto,
Likelihood,Probabilidad,
Severity,Severidad,
Critical,Crítico,
High,Alto,
Medium,Medio,
Low,Bajo,
Minor,Menor,
Major,Mayor,
Moderate,Moderado,
Dashboard,Panel de Control,
Compliance Dashboard,Panel de Cumplimiento,
Open Deficiencies,Deficiencias Abiertas,
Pending Tests,Pruebas Pendientes,
Active Controls,Controles Activos,
Active Risks,Riesgos Activos,
New Updates,Nuevas Actualizaciones,
Risk Heatmap,Mapa de Calor de Riesgos,
Test Results,Resultados de Pruebas,
Evidence,Evidencia,
Remediation,Remediación,
Due Date,Fecha de Vencimiento,
Effective Date,Fecha de Vigencia,
Publication Date,Fecha de Publicación,
days overdue,días de retraso,
Due today,Vence hoy,
No date set,Sin fecha establecida,
Go to Control Activities,Ir a Actividades de Control,
Go to Risk Register,Ir al Registro de Riesgos,
Go to Test Executions,Ir a Ejecuciones de Prueba,
Go to Compliance Dashboard,Ir al Panel de Cumplimiento,
New deficiency created,Nueva deficiencia creada,
New regulatory update,Nueva actualización regulatoria,
Description,Descripción,
Owner,Responsable,
Type,Tipo,
Tests,Pruebas,
Last Test,Última Prueba,
Never,Nunca,
Tips,Consejos,
Help,Ayuda,
